Idade,Veiculo,Acesso_TP,Trabalha_Presencial,Renda,Prefere_TP
58,Sim,Sim,Nao,5512,Nao
32,Sim,Sim,Sim,11174,Nao
45,Sim,Sim,Sim,5082,Nao
32,Sim,Sim,Nao,5111,Nao
46,Nao,Sim,Sim,8424,Nao
39,Nao,Sim,Sim,7014,Nao
24,Sim,Nao,Sim,7381,Nao
40,Nao,Sim,Nao,10285,Nao
25,Nao,Sim,Nao,11799,Nao
57,Nao,Sim,Sim,2250,Sim
60,Sim,Nao,Sim,5314,Nao
24,Nao,Nao,Nao,11915,Nao
41,Sim,Nao,Nao,4932,Nao
60,Nao,Sim,Sim,10251,Nao
64,Sim,Sim,Nao,7716,Nao
35,Sim,Nao,Sim,5252,Nao
70,Sim,Nao,Nao,5886,Nao
22,Sim,Nao,Sim,9679,Nao
43,Nao,Sim,Nao,3787,Sim
33,Nao,Nao,Nao,7430,Nao
32,Sim,Nao,Sim,2271,Nao
25,Sim,Sim,Nao,11271,Nao
22,Nao,Nao,Nao,10169,Nao
34,Sim,Sim,Nao,7073,Nao
25,Nao,Nao,Sim,8933,Nao
18,Nao,Sim,Sim,11744,Sim
37,Sim,Sim,Nao,4146,Nao
52,Sim,Nao,Nao,1819,Nao
25,Nao,Nao,Sim,2449,Nao
33,Sim,Sim,Nao,2633,Nao
66,Sim,Sim,Nao,10507,Nao
28,Nao,Nao,Sim,10335,Nao
66,Sim,Nao,Nao,7618,Nao
46,Nao,Sim,Sim,5181,Nao
22,Nao,Sim,Sim,11141,Sim
32,Sim,Sim,Sim,5250,Nao
22,Sim,Nao,Sim,9923,Nao
33,Nao,Nao,Sim,10334,Nao
26,Nao,Sim,Nao,8169,Nao
30,Sim,Sim,Nao,7304,Nao
45,Nao,Nao,Sim,3112,Nao
21,Nao,Nao,Sim,5573,Nao
30,Sim,Nao,Sim,8412,Nao
29,Nao,Nao,Sim,2735,Nao
46,Sim,Sim,Sim,3028,Nao
66,Sim,Sim,Nao,9456,Nao
48,Sim,Nao,Sim,4197,Nao
42,Sim,Nao,Nao,8954,Nao
36,Nao,Nao,Sim,4611,Nao
36,Sim,Sim,Sim,6638,Nao
21,Sim,Nao,Sim,2431,Nao
50,Sim,Sim,Sim,11249,Nao
22,Sim,Nao,Sim,10833,Nao
33,Sim,Sim,Nao,11062,Nao
54,Nao,Nao,Sim,6647,Nao
33,Nao,Nao,Sim,6415,Nao
47,Nao,Sim,Sim,9008,Nao
57,Sim,Sim,Sim,9788,Nao
34,Sim,Nao,Sim,5502,Nao
41,Nao,Sim,Nao,10400,Nao
63,Nao,Sim,Nao,3197,Sim
26,Nao,Sim,Sim,10564,Nao
27,Nao,Nao,Sim,7117,Nao
31,Nao,Nao,Nao,2332,Nao
23,Nao,Nao,Sim,1558,Nao
39,Sim,Nao,Sim,8739,Nao
53,Nao,Sim,Sim,2732,Sim
62,Sim,Sim,Nao,11043,Nao
53,Sim,Nao,Sim,2185,Nao
37,Nao,Sim,Nao,4941,Nao
61,Sim,Sim,Nao,10673,Nao
44,Sim,Sim,Sim,4400,Nao
44,Sim,Sim,Nao,8245,Nao
69,Sim,Nao,Sim,3271,Nao
42,Sim,Nao,Sim,4769,Nao
70,Nao,Nao,Nao,5228,Nao
32,Sim,Sim,Nao,6878,Nao
35,Sim,Nao,Nao,9846,Nao
43,Nao,Sim,Sim,5779,Nao
29,Nao,Sim,Sim,11274,Nao
45,Nao,Nao,Nao,11432,Nao
50,Sim,Nao,Sim,5673,Nao
20,Nao,Sim,Sim,7467,Sim
45,Sim,Nao,Nao,3541,Nao
64,Nao,Nao,Nao,6844,Nao
43,Nao,Sim,Sim,8388,Nao
60,Nao,Sim,Nao,8153,Nao
53,Sim,Nao,Nao,4943,Nao
45,Nao,Nao,Nao,8744,Nao
61,Sim,Nao,Sim,2889,Nao
36,Nao,Sim,Sim,6585,Nao
32,Sim,Sim,Sim,2257,Nao
33,Nao,Sim,Nao,8290,Nao
58,Sim,Nao,Nao,8047,Nao
33,Sim,Sim,Sim,8465,Nao
32,Sim,Nao,Sim,10632,Nao
33,Sim,Nao,Sim,9112,Nao
60,Nao,Nao,Nao,10476,Nao
46,Sim,Nao,Nao,5746,Nao
66,Sim,Nao,Nao,11768,Nao
